source_id,dest_id,wt
67,127,0.2778361570863074
70,153,0.20665853631068995
72,6,0.18374616477126954
73,32,0.1736240775091407
74,64,0.22406776737366477
75,32,0.1736240775091407
76,23,0.1983450265145518
78,164,0.17618494950480493
79,32,0.17415008473432037
82,32,0.1735239278753893
83,58,0.2312897239120659
85,10,0.6111229866268839
86,57,0.23248210473549577
87,18,0.17814582217983788
87,63,0.2478661743238169
88,32,0.25790917636766414
89,32,0.1736240775091407
90,50,0.18922033489608792
91,164,0.6677299921465336
92,164,0.2761988367964341
93,90,0.26624093113199127
94,32,0.16804951977215746
95,27,0.19240348874112917
96,64,0.16387266801917838
97,64,0.17670433604199917
98,11,0.2107593800087166
98,140,0.2042486178394514
99,112,0.18698273842366642
100,32,0.1733740878643525
103,4,0.4304094569012438
105,32,0.1736240775091407
107,36,0.20871772365782013
107,92,0.27561267893915253
107,168,0.18221838784505473
108,29,0.42096387437319305
108,64,0.47065191958507063
109,32,0.1736240775091407
110,4,0.21477699801789124
111,32,0.16492802760458225
112,22,0.1869827615349265
113,32,0.1733740878643525
114,57,0.19083694890215105
115,171,0.24975116329535602
116,106,0.25463791245554457
117,33,0.25778667308985065
117,63,0.28572362380145405
120,97,0.1767040879418136
121,145,0.26267548580344924
122,22,0.18971206618955835
124,64,0.2976664101792892
125,7,0.3275078615903054
126,32,0.16492802760458225
130,4,0.4030010550491764
131,119,0.26414921130190105
134,150,0.30467658655696
135,4,0.41721109245241594
135,172,0.612932652969307
135,185,0.28239115174994417
136,51,0.24785994184278096
136,159,0.21039800947986187
136,189,0.19034755106683887
137,58,0.2706716239991565
138,40,0.1633101124268092
139,110,0.2698659566163132
139,176,0.25276793771149864
140,98,0.20136269113179023
141,64,0.28429107735701675
143,32,0.1735239278753893
144,164,0.16965068100815742
147,187,0.22607155995509315
148,125,0.20443586021420954
151,58,0.22504051335302136
152,32,0.1736240775091407
153,9,0.2067766832951662
153,38,0.1694016114504605
153,180,0.17394314790737575
153,196,0.21108310857234147
154,26,0.19435706689423177
155,32,0.17415008473432037
157,132,0.26884074362980104
160,32,0.1635466368462664
161,32,0.22374536832126557
163,164,0.2883960681084938
164,18,0.22292922293050155
164,43,0.20689981936072877
164,63,0.5088402577158029
164,107,0.23024218595117665
164,181,0.22095065833138186
164,188,0.17602841111295917
164,198,0.18919972542370836
164,205,0.19549808538402846
165,125,0.18521830222035246
166,32,0.1735239278753893
167,164,0.16314715027921575
168,64,0.23908069704052073
169,32,0.16775314939170344
170,32,0.513362308409134
171,117,0.254116095998904
172,18,0.23194918272861914
172,53,0.1908087944651594
172,63,0.2921104076714595
172,128,0.1908087944651594
172,133,0.1648144967158067
172,146,0.1908087944651594
172,158,0.1908087944651594
172,162,0.1908087944651594
172,179,0.1908087944651594
172,195,0.1908087944651594
174,32,0.166529173706845
175,201,0.17562832399407652
176,157,0.2692823513426832
177,32,0.16870023562457404
178,47,0.23639436171751127
180,85,0.23459511738816918
181,4,0.3208035468759452
181,172,0.2787460673346902
181,185,0.2762299310512318
182,32,0.17393186119619475
183,57,0.17369400586329584
184,120,0.22586691668258627
185,18,0.2035975123652632
185,63,0.20913136059380258
186,85,0.18083264717692019
188,144,0.16920002704320244
190,32,0.16775314939170344
191,96,0.16601149138073323
192,117,0.16448551808331568
193,116,0.2257167312453725
196,85,0.25038595472280306
197,32,0.1736240775091407
198,142,0.18882939790066036
201,22,0.17562834859948503
202,32,0.16775314939170344
203,32,0.16492802760458225
205,164,0.21745662356477
